LSOA11CD,average_price,airbnb_density,Price_Change,People per Sq Km,Income Score (rate),hotel_density,tourist_attraction_density,AvPTAI2015
E01000887,174.78947368421052,296.55358987461614,-1.1764705882352942,17947.9479479479,0.09,0.0,0.0,18.925
E01000888,295.77777777777777,201.29580137759143,33.678714285714285,20000.0,0.093,0.0,0.0,14.3022
E01000889,125.375,122.66242141409286,-17.508055853920514,18891.7306052856,0.229,0.0,0.0,12.6576
E01000890,104.0,171.89794727835925,,23460.0262123198,0.294,0.0,0.0,11.3929
E01000891,130.23809523809524,305.494836847197,,22809.2783505155,0.277,0.0,0.0,11.0683
E01000892,174.8,189.20884437796687,16.146331103323778,19697.4652493868,0.142,8.226471494694211,0.0,16.9827
E01000893,190.7142857142857,57.97549261630211,2.5,3527.85145888594,0.037,0.0,1.8694871174115308,4.60725
E01000894,266.15384615384613,80.62888958846267,-7.07247204968944,7898.06044203879,0.03,0.0,0.0,9.43746
E01000895,244.19230769230768,377.4013749511068,26.984761904761907,21172.2731906218,0.087,0.0,0.0,13.906
E01000896,235.27777777777777,157.21250626851963,68.0,14003.9708802118,0.024,0.0,0.0,15.3479
E01000897,347.3333333333333,120.21508294093384,17.40041928721174,10348.4848484848,0.03,0.0,0.0,15.777
E01000898,219.33333333333331,168.06954476276317,,13947.2140762463,0.104,0.0,0.0,19.3603
E01000899,172.5,17.57364168567136,10.995347075050612,2010.89968594125,0.013,0.0,0.0,4.94096
E01000900,204.46153846153845,414.057285965409,-0.6574141709276844,21378.2696177062,0.162,0.0,0.0,16.8435
E01000901,139.94736842105263,328.9147327917572,-15.961305925030231,26764.1509433962,0.248,0.0,0.0,19.9858
E01000902,245.31578947368425,359.85690619875487,,20404.2806183115,0.279,0.0,0.0,14.9716
E01000903,145.88235294117646,252.94401214554875,18.705035971223023,17634.9362119725,0.157,0.0,0.0,13.4116
E01000904,196.2439024390244,466.0534209604332,-25.36327608982827,24094.4206008584,0.187,8.63061890667469,0.0,28.539
E01000905,280.75,395.4453395055973,-3.1600407747196737,26569.7674418605,0.291,0.0,0.0,20.7067
E01000906,201.86206896551724,268.75640123074504,-10.526315789473683,12783.4302325581,0.072,0.0,0.0,18.2211
E01000907,142.4,94.74859349316765,-29.70486776542737,15839.552238806,0.236,0.0,0.0,13.7572
E01000908,179.71428571428572,86.71832120199278,1.0101010101010102,11371.4285714286,0.201,0.0,0.0,6.31415
E01000909,188.25,53.05948812907139,-15.95993322203673,8302.71216097988,0.079,0.0,0.0,8.16553
E01000910,580.8181818181819,161.89844654081386,7.0100143061516444,13748.0798771121,0.051,0.0,0.0,17.9521
E01000911,89.9,272.61323199963414,21.019108280254777,20522.133938706,0.156,0.0,0.0,19.6645
E01000912,357.3333333333333,32.12657574829578,-37.92270531400966,2153.77748019194,0.181,0.0,0.0,6.58256
E01000913,230.8,11.807303752954132,-11.267605633802818,1213.97649969079,0.023,0.0,1.863627370676884,3.64315
E01000914,246.3471074380165,365.8442334659469,-31.70731707317073,5610.9001563547,0.073,22.307575211338225,6.689854815307188,60.1685
E01000915,190.21052631578948,364.82588282149857,,23832.6585695007,0.195,13.512069734129575,13.507170615053454,50.4737
E01000916,175.71311475409837,1056.2774271671892,-9.46832730681666,17909.0291921249,0.135,6.771009148507623,0.0,55.1058
E01000917,202.6153846153846,588.3233584238137,-48.38709677419355,31587.3015873016,0.278,0.0,0.0,58.3439
E01000918,308.7185185185185,996.546090997932,-20.170454545454543,14982.1640903686,0.131,24.01315881922728,6.00111186553487,83.5067
E01000919,319.136690647482,1320.5774634052366,-34.24657534246575,14797.1204188482,0.116,26.678332594045184,0.0,87.5882
E01000920,273.1578947368421,860.0890787522638,-37.68361078963768,17644.0177252585,0.113,14.702377414568614,0.0,43.1404
E01000921,115.55,355.1646008903811,-32.12082493162171,19686.4951768489,0.086,0.0,0.0,25.1522
E01000922,167.6818181818182,231.3530528327459,24.80680061823802,10847.7237048666,0.16,0.0,0.0,22.4201
E01000923,68.42857142857143,187.27718606406123,36.01380042462845,20023.4192037471,0.124,0.0,0.0,22.28
E01000924,106.0,236.96903002391505,-6.443938649628765,21088.504577823,0.099,0.0,0.0,18.733
E01000925,133.8,239.5233932928656,,20736.7149758454,0.252,0.0,0.0,20.5869
E01000926,145.30769230769232,468.7580131194134,7.000000000000001,22716.4502164502,0.149,10.90134914231194,0.0,18.2701
E01000927,172.3181818181818,370.8768231388635,58.01749271137027,21153.0815109344,0.096,0.0,0.0,30.7341
E01000928,1335.888888888889,121.45386146054328,-17.54601226993865,8368.31683168317,0.148,0.0,0.0,20.2364
E01000929,108.02777777777776,497.0593183781793,,24161.554192229,0.203,0.0,0.0,19.4136
E01000930,179.59259259259258,324.9030223463735,34.46969696969697,21411.3597246127,0.249,17.100159070861764,0.0,27.3387
E01000931,202.84615384615384,300.0733353862287,28.272251308900525,16954.4527532291,0.251,0.0,0.0,21.9324
E01000932,117.11111111111111,553.9151503240622,-6.0344827586206895,32042.3600605144,0.164,0.0,0.0,25.2571
E01000933,196.4782608695652,361.654186284582,35.3448275862069,20651.376146789,0.159,0.0,0.0,28.7906
E01000934,129.64705882352942,474.6234984989016,3.571428571428571,21653.2721010333,0.269,0.0,0.0,16.2306
E01000935,319.3181818181818,413.09062575327016,,25265.7004830918,0.277,0.0,0.0,14.4791
E01000936,290.7931034482759,466.8423815666887,,23524.7747747748,0.147,22.772799100814083,0.0,32.3907
E01000937,171.88888888888889,291.5127157484915,-44.91525423728814,19752.9880478088,0.065,0.0,0.0,51.5901
E01000938,140.5,1481.964987137212,,26642.1568627451,0.18,74.09824935686059,0.0,73.2331
E01000939,124.7457627118644,2090.343554626588,,20725.1908396947,0.267,272.65350712520706,0.0,82.7078
E01000940,215.8947368421053,1038.0036141577186,,33408.6242299795,0.144,0.0,0.0,57.595
E01000941,147.15555555555557,1701.271917880607,,31520.7373271889,0.271,132.5666429517356,0.0,71.9473
E01000942,161.45454545454547,560.4329078868183,,34589.0410958904,0.061,82.01457188587584,0.0,91.7288
